"length","kips","min_thkn","max_thkn","min_wght_asd","limit_state_asd","slenderRat"
84,0,0.1875,12,"0.84_0.188","Tensile_Yielding",350.1337549
84,0,0.25,72,"0.84_0.294","Tensile_Yielding",383.1305116
84,0,0.25,36,"0.84_0.294","Tensile_Yielding",383.1305116
84,0,0.25,24,"0.84_0.294","Tensile_Yielding",383.1305116
84,0,0.25,12,"0.84_0.294","Tensile_Yielding",383.1305116
84,0,0.375,72,"1.66_0.382","Tensile_Yielding",178.1192747
84,0,0.375,36,"1.66_0.382","Tensile_Yielding",178.1192747
84,0,0.375,24,"1.66_0.382","Tensile_Yielding",178.1192747
84,0,0.375,12,"1.66_0.382","Tensile_Yielding",178.1192747
90,0,0.1875,72,"0.84_0.188","Tensile_Yielding",375.1433088
90,0,0.1875,36,"0.84_0.188","Tensile_Yielding",375.1433088
90,0,0.1875,24,"0.84_0.188","Tensile_Yielding",375.1433088
90,0,0.1875,12,"0.84_0.188","Tensile_Yielding",375.1433088
90,0,0.25,72,"0.84_0.294","Tensile_Yielding",410.4969767
90,0,0.25,36,"0.84_0.294","Tensile_Yielding",410.4969767
90,0,0.25,24,"0.84_0.294","Tensile_Yielding",410.4969767
90,0,0.25,12,"0.84_0.294","Tensile_Yielding",410.4969767
90,0,0.375,72,"1.66_0.382","Tensile_Yielding",190.84208
90,0,0.375,36,"1.66_0.382","Tensile_Yielding",190.84208
90,0,0.375,24,"1.66_0.382","Tensile_Yielding",190.84208
90,0,0.375,12,"1.66_0.382","Tensile_Yielding",190.84208
96,0,0.1875,72,"0.84_0.188","Tensile_Yielding",400.1528627
96,0,0.1875,36,"0.84_0.188","Tensile_Yielding",400.1528627
96,0,0.1875,24,"0.84_0.188","Tensile_Yielding",400.1528627
96,0,0.1875,12,"0.84_0.188","Tensile_Yielding",400.1528627
96,0,0.25,72,"0.84_0.294","Tensile_Yielding",437.8634418
96,0,0.25,36,"0.84_0.294","Tensile_Yielding",437.8634418
96,0,0.25,24,"0.84_0.294","Tensile_Yielding",437.8634418
96,0,0.25,12,"0.84_0.294","Tensile_Yielding",437.8634418
96,0,0.375,72,"1.66_0.382","Tensile_Yielding",203.5648853
96,0,0.375,36,"1.66_0.382","Tensile_Yielding",203.5648853
96,0,0.375,24,"1.66_0.382","Tensile_Yielding",203.5648853
96,0,0.375,12,"1.66_0.382","Tensile_Yielding",203.5648853
102,0,0.1875,72,"0.84_0.188","Tensile_Yielding",425.1624166
102,0,0.1875,36,"0.84_0.188","Tensile_Yielding",425.1624166
102,0,0.1875,24,"0.84_0.188","Tensile_Yielding",425.1624166
102,0,0.1875,12,"0.84_0.188","Tensile_Yielding",425.1624166
102,0,0.25,72,"0.84_0.294","Tensile_Yielding",465.2299069
102,0,0.25,36,"0.84_0.294","Tensile_Yielding",465.2299069
102,0,0.25,24,"0.84_0.294","Tensile_Yielding",465.2299069
102,0,0.25,12,"0.84_0.294","Tensile_Yielding",465.2299069
102,0,0.375,72,"1.66_0.382","Tensile_Yielding",216.2876907
102,0,0.375,36,"1.66_0.382","Tensile_Yielding",216.2876907
102,0,0.375,24,"1.66_0.382","Tensile_Yielding",216.2876907
102,0,0.375,12,"1.66_0.382","Tensile_Yielding",216.2876907
108,0,0.1875,72,"0.84_0.188","Tensile_Yielding",450.1719705
108,0,0.1875,36,"0.84_0.188","Tensile_Yielding",450.1719705
